train_size,train_auc_mean,valid_auc_mean
1651,0.804253751963774,0.7676722088997143
3302,0.777486706340305,0.7704024642310967
4953,0.7809200508294019,0.769865684395484
6604,0.7824144107140939,0.7835101261084224
8255,0.7876548254165648,0.7833624433651902
