created_at,prediction_label,prediction_probability,helpful,comment
2026-06-14 16:36:09,0,0.4232,예,예측 결과와 병원 방문 권장 안내가 도움이 되었습니다.
2026-06-26 20:14:15,0,0.2478,예,
