Model,Accuracy,AUC,Recall,Prec.,F1
Logistic Regression,0.7158,0.7867,0.7208,0.4296,0.5382
Random Forest Classifier,0.7958,0.7788,0.3609,0.5919,0.4479
CatBoost Classifier,0.7914,0.7756,0.3498,0.5763,0.4352
Light Gradient Boosting Machine,0.7943,0.7727,0.3604,0.5849,0.4456
Extreme Gradient Boosting,0.7828,0.7499,0.3614,0.5408,0.4331
