model,n_test,pred_0,pred_1,TN,FP,FN,TP,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,average_precision
Current-like model (SMOTE + class_weight balanced),2064,1477,587,1445,504,32,83,0.7403100775193798,0.141396933560477,0.7217391304347827,0.741405849153412,0.23646723646723647,0.8194436388783545,0.2690782406645733
Class-weight balanced only,2064,1481,583,1449,500,32,83,0.7422480620155039,0.1423670668953688,0.7217391304347827,0.7434581836839405,0.23782234957020057,0.8199210297365427,0.25949220455788624
